Num,No.,Source,Name,Alternate,Part Of,Lat,Long,Marathi,Marathi Alternate,Type,Nearby Village,Dist,State,Type,Height-Sealevel,Height Bottom,Nearby Village,Dist,State
479,91,SK,Pavangad,Pavanagad,Constructed,74.126988,16.803906,??????,?????,??????,??????,?????????,??????????,Mountain,953,300,Vaghbil,Kolhapur,Maharashtra
320,86,WS,Bhuikot,Fort Bhuikot,,74.1274424,16.9818325,,,,,,,,,,,,
495,107,SK,Bhudargad,Bhudargad Fort,,74.14351,16.250612,??????,?????,??????,??????,?????????,??????????,Mountain,978,200,Bhudargad,Kolhapur,Maharashtra
480,92,SK,Pisol,None,,74.224646,20.85113,?????,?????,??????,"?????????, ??????",????,??????????,Mountain,950,300,"Pisolwadi, Nandin",Dhule,Maharashtra
462,74,SK,Daulatmangal,Bhuleshwar,,74.241304,18.435468,????????,????????,??????,???,????,??????????,Mountain,822,200,Yavat,Pune,Maharashtra
325,91,WS,Machindragad,Machchindragad,Constructed,74.2686296,17.1633236,,,,,,,,,,,,
446,58,SK,Dermal,None,,74.28538,20.852224,??????,?????,??????,"???????, ??????",?????,??????????,Mountain,1076,300,"Bilpuri, Tinghri",Nashik,Maharashtra
321,87,WS,Bahadurwadi,Fort Bahadurwadi,,74.3137047,16.9086719,,,,,,,,,,,,
536,148,SK,Santoshgad,"Tathawda, Santosh Gadh",,74.323066,17.858367,???????,??????,??????,??????,??????,??????????,Mountain,906,150,Tathavda,Satara,Maharashtra
494,106,SK,Bhamer,None,,74.335992,21.070607,?????,?????,??????,?????,????,??????????,Mountain,745,200,Bhamer,Dhule,Maharashtra
356,122,WS,Bhuykot Supe,Bhuykot Killa Supe 412204,,74.3772258,18.333179,,,,,,,,,,,,
318,84,WS,Bagani,Bagani Fort,,74.3818393,16.9061989,,,,,,,,,,,,
310,76,WS,Katra,Katra Fort,,74.3909705,20.1982567,,,,,,,,,,,,
331,97,WS,Palashi,Palashi Fort,,74.4008802,19.2820979,,,,,,,,,,,,
293,59,WS,Samangad,Samangad Fort,,74.4012635,16.173006,,,,,,,,,,,,
120,120,SB,Bhushangad,Bhushangad Fort,Constructed,74.4067526,17.4648883,,,,,,,,,,,,
324,90,WS,Varugad,Varugad,Constructed,74.4423723,17.8526365,,,,,,,,,,,,
389,1,SK,Ankai,Fort Ankai,,74.454789,20.191275,?????,?????,??????,?????,?????,??????????,Mountain,980,350,Ankai,Nashik,Maharashtra
305,71,WS,Tankai,Fort Tankai,,74.448304,20.187094,?????,?????,??????,?????,?????,??????????,Mountain,854,300,Ankai,Nashik,Maharashtra
262,28,WS,Mahimangad.,Mahimangad Fort.,,74.4633391,17.7019752,,,,,,,,,,,,
404,16,SK,Kankral,None,,74.486725,20.706696,??????,?????,??????,"???????, ????",?????,??????????,Mountain,755,150,"Kankrale, Garbad",Nashik,Maharashtra
332,98,WS,Mahaji Shinde Killa,"Mahaji Shinde Fort, jamgaon,Ahmednagar",,74.51683,19.067066,,,,,,,,,,,,
347,113,WS,Malegaon,Malegaon Fort,,74.5303807,20.5458411,,,,,,,,,,,,
423,35,SK,Galna,None,,74.532709,20.772677,?????,?????,??????,"?????, ????????, ??????",?????,??????????,Mountain,710,200,"Galne, Dongrale, Tinghri",Nashik,Maharashtra
291,57,WS,Sangli,Sangli Fort,,74.5658787,16.858339,,,,,,,,,,,,
487,99,SK,Bahadurgad,None,Won,74.704489,18.50906,????????,?????,??????,??????,???????,??????????,Ground,570,10,Pedgaon,Ahmednagar,Maharashtra
307,73,WS,Manikpunj,Manikpunj fort,,74.7233284,20.238271,,,,,,,,,,,,
522,134,SK,Laling,None,,74.739308,20.811417,?????,?????,??????,?????,????,??????????,Mountain,593,200,Laling,Dhule,Maharashtra
296,62,WS,Manjarsumba.,Manjarsumba Fort.,,74.748981,19.2507253,,,,,,,,,,,,
398,10,SK,Ahmadnagar,Ahmednagar Fort,,74.754903,19.095558,???????,?????,??????,???????,???????,??????????,Ground,550,10,Ahmadnagar,Ahmednagar,Maharashtra
552,164,SK,Songir,None,,74.785855,21.082342,??????,?????,??????,??????,????,??????????,Mountain,550,70,Songir,Dhule,Maharashtra
322,88,WS,Koldurg,Koldurg fort,,74.840734,17.2312961,,,,,,,,,,,,
304,70,WS,Rajdeher,Rajdeher fort,,74.8887348,20.3019685,,,,,,,,,,,,
306,72,WS,Pedka,Pedka Fort,,74.9639493,20.2452016,,,,,,,,,,,,
379,145,WS,Amalner,Amalner Killa,,75.0666887,21.0394802,,,,,,,,,,,,
362,128,WS,Tembhurni,Tembhurni Fort,,75.1896324,18.0283972,,,,,,,,,,,,
299,65,WS,Karmala,Karmala Fort,,75.191233,18.4085075,,,,,,,,,,,,
308,74,WS,Lonjha,"Lonjha Fort,Lonjagad",Constructed,75.2045166,20.4205931,,,,,,,,,,,,
461,73,SK,Devgiri,"Devgad, Dharagiri, Daulatabad",,75.21251,19.942046,???????,"?????, ????????, ????????",??????,????????,????????,??????????,Mountain,900,200,Daulatabad,Aurangabad,Maharashtra
301,67,WS,Deogiri Daulatabad,Deogiri Daulatabad Fort,,75.2131507,19.9427145,,,,,,,,,,,,
302,68,WS,Antur,Antur Fort,,75.2354157,20.428541,,,,,,,,,,,,
375,141,WS,GAHININATH GAD,GAHININATH GAD,,75.2651238,18.9165377,,,,,,,,,,,,
344,110,WS,Sutonda,Sutonda Fort,,75.355407,20.4697472,,,,,,,,,,,,
352,118,WS,Mangalwedha,Mangalwedha Fort,,75.44416,17.5107534,,,,,,,,,,,,
475,87,SK,Parinda,Paranda Fort Mahadwar,,75.453021,18.269836,??????,?????,??????,??????,???????,??????????,Ground,730,30,Parinda,Dharashiv,Maharashtra
298,64,WS,Kharda,Fort of Kharda,,75.4747868,18.6332224,,,,,,,,,,,,
350,116,WS,Machanur,Machanur Fort,,75.5619351,17.5679238,,,,,,,,,,,,
345,111,WS,Janjala,Janjala Fort,,75.5793041,20.5616088,,,,,,,,,,,,
382,148,WS,Ahilya,Ahilya Fort,,75.586826,22.1699246,,,,,,,,,,,,
468,80,SK,Narayangad,None,,74.032794,19.115827,????????,?????,??????,?????,????,??????????,Mountain,1019,200,Khodad,Pune,Maharashtra
378,144,WS,Vetalwadi Halda,Vetalwadi Killa Halda Tal Sillod Dist Aurangabad,,75.621521,20.5540014,,,,,,,,,,,,
354,120,WS,Rohilagad,Rohilagad Fort,,75.6640183,19.6975507,,,,,,,,,,,,
300,66,WS,Shivgadh,Shivgadh Fort,,75.7036975,19.3601919,,,,,,,,,,,,
530,142,SK,Bijapur,None,,75.719351,16.826056,???????,?????,??????,???????,???????,???????,Ground,600,15,Bijapur,Bijapur,Karnataka
381,147,WS,Shivneri,Shivneri Killa,,73.858852,19.197256,???????,?????,??????,??????,????,??????????,Mountain,1019,200,Junnar,Pune,Maharashtra
553,165,SK,Solapur,Solapur Bhuikot,,75.902043,17.674019,???????,?????,??????,???????,???????,??????????,Ground,550,10,Solapur,Solapur,Maharashtra
372,138,WS,Jafrabad Killa,Jafrabad Killa Fort,,76.0080003,20.1863801,,,,,,,,,,,,
297,63,WS,Dharur,Dharur Fort,,76.1036642,18.8189095,,,,,,,,,,,,
373,139,WS,Deulghat,Deulghat Killa,,76.1152607,20.5142122,,,,,,,,,,,,
467,79,SK,Naldurg,Naldurg Fort,,76.288881,17.818421,???????,?????,??????,???????,???????,??????????,Ground,780,50,Naldurg,Dharashiv,Maharashtra
383,149,WS,Asirgarh,Asirgarh Fort,,76.29272,21.471813,,,,,,,,,,,,
361,127,WS,Ausa,Ausa Fort,,76.4993217,18.2406565,,,,,,,,,,,,
337,103,WS,Dharmapuri,Dharmapuri Fort,,76.6323262,18.7303047,,,,,,,,,,,,
360,126,WS,Suppa,Suppa Fort,,76.7634975,18.8468919,,,,,,,,,,,,
384,150,WS,Balapur,Balapur fort,,76.7737538,20.6703668,,,,,,,,,,,,
364,130,WS,Gulbarga,Gulbarga Fort,,76.8295577,17.3417985,,,,,,,,,,,,
357,123,WS,Basavakalyan,Basavakalyan Fort,,76.9486424,17.8843749,,,,,,,,,,,,
386,152,WS,Asad Gad Akola,Asad Gad Fort Akola,,76.9900476,20.7062445,,,,,,,,,,,,
366,132,WS,Shahnur,Shahnur Fort,,77.0262323,21.2363049,,,,,,,,,,,,
466,78,SK,Narnala,None,,77.027988,21.241299,??????,?????,??????,??????,?????,??????????,Mountain,760,75,Narnala,Akola,Maharashtra
359,125,WS,Udaygiri,Udaygiri Fort,,77.1179358,18.4020454,,,,,,,,,,,,
388,154,WS,Gawilghur,Gawilghur Fort,,77.3357248,21.3826738,,,,,,,,,,,,
424,36,SK,Gawilgad,None,,77.338985,21.374313,???????,?????,??????,???????,???????,??????????,Mountain,1150,350,Chikhaldara,Amravati,Maharashtra
367,133,WS,Achalpur,Achalpur Fort,,77.5066781,21.2545718,,,,,,,,,,,,
358,124,WS,Bidar,Bidar Fort,,77.5263704,17.9225933,,,,,,,,,,,,
365,131,WS,Mahur,Mahur Fort,,77.9267873,19.8368462,,,,,,,,,,,,
385,151,WS,Nizamabad,Nizamabad Fort,,78.0797173,18.6638826,,,,,,,,,,,,
370,136,WS,Shergarh,Shergarh Fort,,78.2656091,21.6401084,,,,,,,,,,,,
369,135,WS,Sergarh,Sergarh Fort,,78.3034685,21.6993894,,,,,,,,,,,,
371,137,WS,Devgarh Chhindwara,Devgarh Fort Chhindwara,,78.7328872,21.8827301,,,,,,,,,,,,
368,134,WS,Ghosala,Ghosala Fort,,79.056373,21.175799,,,,,,,,,,,,
387,153,WS,Manikgarh,Manikgarh Fort,,79.1273975,19.6756056,,,,,,,,,,,,
440,52,SK,Jinjee,None,,79.400667,12.250501,?????,?????,??????,?????,??????????,????????,Mountain,270,240,Jinjee,Villupuram,Tamil Nadu
